User_ID,App,Daily_Minutes_Spent,Posts_Per_Day,Likes_Per_Day,Follows_Per_Day
U_188,Snapchat,89,1,5,14
U_189,Facebook,97,6,86,43
U_190,TikTok,175,4,147,12
U_191,LinkedIn,26,2,47,16
U_192,Twitter,272,7,1,28
U_193,Twitter,21,15,180,37
U_194,Facebook,28,2,95,23
U_195,LinkedIn,255,18,137,17
U_196,TikTok,459,13,165,14
U_197,Twitter,80,18,6,3
U_198,Facebook,230,12,162,41
U_199,LinkedIn,27,6,77,26
U_200,Facebook,141,0,165,13
U_201,Twitter,284,16,9,35
U_202,Twitter,149,3,169,1
U_203,Pinterest,10,6,63,7
U_204,LinkedIn,487,19,25,21
U_205,TikTok,231,14,50,42
U_206,Facebook,245,5,107,41
U_207,Pinterest,58,12,58,27
U_208,Instagram,436,1,8,16
U_209,LinkedIn,23,3,62,8
U_210,TikTok,250,1,100,50
U_211,Snapchat,169,20,14,8
U_212,Pinterest,150,8,86,32
U_213,LinkedIn,210,3,25,20
U_214,LinkedIn,213,9,87,43
U_215,Twitter,492,2,83,42
U_216,Twitter,299,19,12,34
U_217,Snapchat,491,0,124,21
U_218,TikTok,410,5,182,48
U_219,Instagram,211,15,18,38
U_220,Twitter,406,4,178,43
U_221,Snapchat,418,12,78,38
U_222,Twitter,143,0,12,13
U_223,Facebook,461,11,141,7
U_224,Twitter,81,8,9,15
U_225,TikTok,143,2,141,14
U_226,Instagram,296,16,194,15
U_227,Instagram,222,13,14,42
U_228,Facebook,170,17,4,28
U_229,Instagram,29,20,172,31
U_230,Twitter,234,11,120,37
U_231,Snapchat,201,13,173,50
U_232,Instagram,403,8,128,3
U_233,Instagram,132,12,149,22
U_234,TikTok,218,0,107,5
U_235,Snapchat,434,10,87,47
U_236,Instagram,166,15,123,33
U_237,Snapchat,336,8,167,40
U_238,Twitter,99,8,42,41
U_239,LinkedIn,155,19,169,31
U_240,Instagram,53,2,82,33
U_241,Pinterest,11,12,190,7
U_242,Pinterest,324,8,151,49
U_243,Pinterest,251,15,125,23
U_244,TikTok,16,9,102,48
U_245,Pinterest,7,13,138,27
U_246,Twitter,34,17,93,28
U_247,Facebook,496,0,121,24
U_248,Instagram,400,1,101,50
U_249,Pinterest,403,10,105,3
U_250,LinkedIn,266,2,68,18
U_251,Facebook,420,16,50,14
U_252,Facebook,249,19,158,35
U_253,TikTok,423,13,115,45
U_254,LinkedIn,118,12,45,30
U_255,Instagram,388,2,153,37
U_256,Twitter,20,0,76,26
U_257,TikTok,118,20,193,25
U_258,Pinterest,417,14,79,16
U_259,LinkedIn,83,12,78,16
U_260,Twitter,470,6,33,49
U_261,Snapchat,171,3,100,10
U_262,TikTok,436,0,29,8
U_263,Instagram,327,20,180,18
U_264,Snapchat,141,0,22,3
U_265,Pinterest,290,17,189,26
U_266,Pinterest,69,13,123,0
U_267,Pinterest,253,12,151,39
U_268,Facebook,133,3,63,3
U_269,Twitter,118,0,35,32
U_270,Facebook,156,17,55,24
U_271,Snapchat,14,12,11,29
U_272,TikTok,195,9,141,47
U_273,Facebook,345,13,8,37
U_274,LinkedIn,419,0,103,2
U_275,Twitter,126,15,78,28
U_276,Snapchat,219,10,188,15
U_277,Pinterest,105,10,95,12
U_278,Pinterest,290,7,183,49
U_279,Instagram,397,16,169,44
U_280,LinkedIn,300,15,6,50
U_281,Facebook,34,18,161,30
U_282,Facebook,161,8,192,7
U_283,Instagram,7,12,189,43
U_284,Facebook,91,1,129,20
U_285,LinkedIn,86,17,56,6
U_286,Instagram,398,20,56,18
U_287,Twitter,342,18,82,26
U_288,Instagram,7,16,61,0
U_289,Snapchat,100,4,70,37
U_290,Pinterest,325,14,98,31
U_291,Pinterest,216,4,146,38
U_292,Twitter,320,6,131,47
U_293,Snapchat,264,18,124,28
U_294,Twitter,269,10,121,14
U_295,TikTok,32,14,152,1
U_296,Snapchat,452,3,70,34
U_297,TikTok,136,11,60,0
U_298,LinkedIn,68,3,33,15
U_299,Instagram,344,1,173,20
U_300,Twitter,437,15,38,4
U_301,Instagram,396,3,48,2
U_302,TikTok,67,20,69,4
U_303,LinkedIn,492,16,186,42
U_304,Facebook,317,8,108,1
U_305,Facebook,302,11,133,36
U_306,Instagram,387,10,198,32
U_307,Facebook,299,18,35,10
U_308,Snapchat,492,0,109,8
U_309,LinkedIn,256,16,63,20
U_310,Twitter,248,11,79,40
U_311,TikTok,334,16,180,25
U_312,Instagram,421,18,43,11
U_313,Facebook,296,16,165,33
U_314,Facebook,73,19,42,22
U_315,TikTok,52,10,11,0
U_316,LinkedIn,239,13,110,20
U_317,Pinterest,477,14,89,47
U_318,Instagram,359,2,60,16
U_319,LinkedIn,135,0,194,22
U_320,TikTok,443,0,93,37
U_321,Facebook,440,5,185,47
U_322,Instagram,336,4,89,5
U_323,Twitter,15,3,135,33
U_324,Twitter,92,7,150,32
U_325,Facebook,85,11,180,14
U_326,Facebook,368,0,11,30
U_327,Snapchat,69,8,160,45
U_328,Facebook,415,0,184,17
U_329,Twitter,167,6,174,45
U_330,Facebook,298,15,26,25
U_331,Snapchat,240,18,39,20
U_332,Pinterest,406,11,182,19
U_333,Facebook,118,4,112,12
U_334,Instagram,363,11,115,27
U_335,LinkedIn,274,4,67,42
U_336,Snapchat,169,11,48,19
U_337,LinkedIn,335,4,38,42
U_338,Pinterest,264,1,42,19
U_339,Facebook,446,8,131,21
U_340,LinkedIn,374,19,63,12
U_341,Instagram,58,17,32,11
U_342,Instagram,95,7,18,39
U_343,LinkedIn,387,18,183,34
U_344,Snapchat,415,16,149,45
U_345,Snapchat,404,8,55,1
U_346,LinkedIn,24,10,88,44
U_347,Pinterest,166,3,139,47
U_348,TikTok,128,14,79,21
U_349,Snapchat,37,5,91,10
U_350,Facebook,212,2,165,34
U_351,Twitter,295,4,100,45
U_352,Snapchat,236,5,177,12
U_353,Instagram,233,6,51,33
U_354,Snapchat,354,9,35,45
U_355,Facebook,486,4,9,8
U_356,Snapchat,99,7,102,8
U_357,TikTok,200,6,71,18
U_358,Twitter,170,5,21,44
U_359,Facebook,138,8,30,2
U_360,Pinterest,20,4,13,26
U_361,Pinterest,116,18,16,38
U_362,Twitter,340,8,59,14
U_363,Pinterest,241,17,42,48
U_364,Twitter,332,6,40,33
U_365,Snapchat,295,1,99,2
U_366,Twitter,293,19,95,33
U_367,Twitter,256,0,2,37
U_368,Facebook,460,8,27,20
U_369,Instagram,416,19,169,47
U_370,LinkedIn,126,2,115,48
U_371,Facebook,27,1,56,3
U_372,Pinterest,403,9,115,35
U_373,Facebook,153,1,14,10
U_374,Instagram,231,14,177,35
U_375,Twitter,440,11,73,22
U_376,Instagram,232,14,130,48
U_377,Facebook,25,4,76,47
U_378,Twitter,159,3,112,37
U_379,Instagram,228,18,88,7
U_380,Snapchat,47,2,179,41
U_381,Instagram,295,7,125,32
U_382,LinkedIn,483,16,48,42
U_383,TikTok,30,5,12,17
U_384,TikTok,389,2,3,16
U_385,Instagram,243,19,177,15
U_386,Pinterest,500,3,89,4
U_387,TikTok,135,18,146,1
U_388,Instagram,75,9,32,0
U_389,TikTok,84,19,18,43
U_390,TikTok,364,19,121,16
U_391,LinkedIn,72,0,19,0
U_392,Pinterest,282,4,87,16
U_393,Pinterest,391,15,76,28
U_394,LinkedIn,46,12,30,47
U_395,LinkedIn,193,19,75,13
U_396,TikTok,479,20,15,35
U_397,LinkedIn,248,15,42,5
U_398,Instagram,303,9,48,14
U_399,Facebook,438,11,10,20
U_400,Pinterest,76,15,147,23
U_401,TikTok,189,7,46,40
U_402,TikTok,197,5,59,10
U_403,Snapchat,223,3,70,24
U_404,Pinterest,76,2,17,7
U_405,LinkedIn,198,18,151,24
U_406,Pinterest,431,14,0,32
U_407,LinkedIn,201,8,152,12
U_408,Instagram,361,14,4,42
U_409,Pinterest,88,4,49,19
U_410,Twitter,237,11,43,22
U_411,Snapchat,48,5,55,32
U_412,TikTok,403,2,79,29
U_413,Facebook,127,15,195,30
U_414,TikTok,177,17,27,40
U_415,Twitter,305,18,194,12
U_416,Snapchat,176,7,156,22
U_417,LinkedIn,84,9,69,5
U_418,Snapchat,401,9,154,12
U_419,TikTok,351,14,22,2
U_420,TikTok,298,0,0,31
U_421,Pinterest,254,0,31,1
U_422,LinkedIn,108,7,68,44
U_423,LinkedIn,210,16,159,20
U_424,LinkedIn,201,15,69,46
U_425,Twitter,307,12,75,21
U_426,Snapchat,315,2,51,2
U_427,TikTok,17,20,35,24
U_428,Pinterest,380,13,28,6
U_429,Twitter,277,7,6,4
U_430,Snapchat,184,12,111,2
U_431,TikTok,483,17,146,18
U_432,TikTok,356,5,18,41
U_433,Twitter,276,10,173,22
U_434,Snapchat,29,20,193,23
U_435,LinkedIn,214,18,93,25
U_436,Instagram,487,20,63,21
U_437,Instagram,94,0,154,15
U_438,Twitter,17,19,108,47
U_439,TikTok,85,18,68,45
U_440,Twitter,327,3,108,28
U_441,Snapchat,77,5,110,38
U_442,Instagram,491,19,34,20
U_443,Twitter,287,1,68,20
U_444,Snapchat,426,16,16,38
U_445,Pinterest,254,0,35,41
U_446,Twitter,461,12,110,35
U_447,Snapchat,88,7,77,34
U_448,Facebook,400,8,127,46
U_449,Instagram,470,12,160,39
U_450,TikTok,246,13,151,23
U_451,Facebook,72,10,61,8
U_452,Snapchat,16,6,135,1
U_453,Snapchat,456,11,61,12
U_454,Pinterest,42,20,120,27
U_455,Twitter,463,2,176,49
U_456,Pinterest,225,11,100,24
U_457,Facebook,362,0,105,38
U_458,TikTok,284,1,37,4
U_459,Instagram,133,19,34,37
U_460,LinkedIn,68,8,123,17
U_461,TikTok,270,10,40,23
U_462,Snapchat,476,14,77,27
U_463,TikTok,333,1,198,3
U_464,Twitter,484,19,104,25
U_465,Twitter,298,5,156,7
U_466,TikTok,81,18,2,49
U_467,LinkedIn,395,14,116,35
U_468,Snapchat,275,1,62,38
U_469,Snapchat,435,8,161,14
U_470,Facebook,216,18,191,15
U_471,Snapchat,22,9,82,14
U_472,Facebook,448,7,12,28
U_473,Pinterest,458,20,94,0
U_474,Pinterest,222,17,28,47
U_475,Instagram,80,15,122,18
U_476,Snapchat,437,14,196,20
U_477,Twitter,469,11,180,2
U_478,LinkedIn,239,12,125,36
U_479,Facebook,477,11,187,22
U_480,LinkedIn,342,7,190,16
U_481,Snapchat,124,11,164,7
U_482,LinkedIn,80,8,165,37
U_483,Instagram,265,6,73,34
U_484,Twitter,325,18,76,32
U_485,TikTok,149,18,90,28
U_486,Pinterest,489,7,172,28
U_487,Snapchat,274,18,48,45
U_488,Facebook,30,11,139,2
U_489,Snapchat,284,16,4,22
U_490,Snapchat,337,9,8,37
U_491,TikTok,366,13,2,39
U_492,Instagram,353,8,24,9
U_493,LinkedIn,495,19,96,40
U_494,TikTok,388,6,125,14
U_495,Snapchat,468,8,193,33
U_496,Instagram,130,13,93,39
U_497,TikTok,84,1,178,26
U_498,Snapchat,322,12,53,45
U_499,TikTok,194,15,42,43
U_500,LinkedIn,384,3,130,10
U_501,Pinterest,292,15,96,48
U_502,TikTok,243,1,55,29
U_503,TikTok,130,10,11,36
U_504,Facebook,10,0,191,36
U_505,Snapchat,309,6,108,5
U_506,Facebook,438,15,83,2
U_507,TikTok,206,6,163,23
U_508,Snapchat,113,6,95,31
U_509,Pinterest,324,16,125,45
U_510,Pinterest,301,9,16,26
U_511,LinkedIn,367,19,172,24
U_512,Snapchat,283,1,177,21
U_513,Pinterest,61,2,18,12
U_514,Snapchat,156,16,122,34
U_515,Pinterest,213,15,105,22
U_516,Instagram,237,7,176,16
U_517,Twitter,408,17,19,0
U_518,LinkedIn,419,5,194,46
U_519,Facebook,96,3,65,10
U_520,Twitter,98,17,48,15
U_521,Twitter,48,18,120,35
U_522,Pinterest,185,18,165,16
U_523,Snapchat,20,19,126,3
U_524,LinkedIn,260,16,38,11
U_525,Facebook,292,2,121,7
U_526,LinkedIn,246,4,171,31
U_527,Snapchat,365,9,1,3
U_528,TikTok,242,7,35,22
U_529,LinkedIn,205,3,140,14
U_530,Snapchat,454,2,50,34
U_531,Snapchat,47,11,18,10
U_532,LinkedIn,294,9,148,21
U_533,TikTok,350,0,92,26
U_534,Facebook,106,11,72,14
U_535,Instagram,89,16,106,47
U_536,Instagram,259,12,144,28
U_537,Instagram,435,19,11,23
U_538,LinkedIn,211,7,51,19
U_539,Snapchat,423,18,3,43
U_540,Pinterest,424,12,63,23
U_541,Pinterest,76,1,85,32
U_542,LinkedIn,489,9,148,30
U_543,Snapchat,328,7,16,30
U_544,Pinterest,294,10,139,5
U_545,LinkedIn,238,19,170,27
U_546,LinkedIn,269,10,36,10
U_547,Pinterest,79,17,189,43
U_548,TikTok,129,0,113,2
U_549,Snapchat,201,11,100,34
U_550,Facebook,127,19,116,0
U_551,TikTok,115,14,15,14
U_552,Pinterest,25,11,50,33
U_553,Facebook,8,15,0,17
U_554,Instagram,227,3,191,42
U_555,TikTok,378,7,53,12
U_556,LinkedIn,91,6,55,46
U_557,TikTok,194,16,91,38
U_558,Pinterest,435,12,187,25
U_559,Pinterest,169,1,158,49
U_560,Twitter,467,11,23,27
U_561,LinkedIn,263,0,117,42
U_562,Instagram,40,16,74,47
U_563,Snapchat,310,1,47,41
U_564,Pinterest,174,1,53,46
U_565,Twitter,388,5,157,21
U_566,Instagram,93,20,136,4
U_567,Pinterest,322,8,124,10
U_568,Facebook,401,2,164,28
U_569,Facebook,189,19,117,28
U_570,LinkedIn,130,11,141,0
U_571,Facebook,287,13,130,3
U_572,Snapchat,21,5,54,4
U_573,Pinterest,444,4,79,47
U_574,LinkedIn,261,4,97,2
U_575,Snapchat,36,15,166,39
U_576,LinkedIn,46,6,58,11
U_577,Pinterest,212,19,115,2
U_578,Facebook,242,9,55,24
U_579,TikTok,236,3,78,12
U_580,Snapchat,297,3,79,39
U_581,Facebook,408,18,71,25
U_582,Pinterest,402,17,19,40
U_583,TikTok,455,5,146,19
U_584,Twitter,46,13,34,16
U_585,Snapchat,377,7,188,4
U_586,Pinterest,81,12,78,12
U_587,Twitter,19,4,10,13
U_588,Snapchat,239,13,92,35
U_589,LinkedIn,456,10,34,8
U_590,Pinterest,308,10,40,30
U_591,Instagram,414,12,53,25
U_592,TikTok,224,8,90,43
U_593,LinkedIn,427,11,113,29
U_594,Instagram,288,18,17,26
U_595,TikTok,477,5,58,47
U_596,LinkedIn,210,5,32,32
U_597,LinkedIn,252,6,63,0
U_598,Pinterest,157,15,136,4
U_599,Instagram,410,6,164,15
U_600,Twitter,39,18,130,38
U_601,TikTok,264,3,77,23
U_602,Instagram,402,9,8,47
U_603,Snapchat,24,0,193,38
U_604,Instagram,235,11,195,11
U_605,Pinterest,288,11,189,47
U_606,Facebook,274,10,150,43
U_607,Snapchat,399,18,48,24
U_608,Pinterest,479,15,51,8
U_609,TikTok,449,13,170,36
U_610,LinkedIn,130,15,32,9
U_611,Instagram,300,15,102,4
U_612,Instagram,112,20,179,39
U_613,Twitter,246,12,64,44
U_614,LinkedIn,109,16,165,36
U_615,Instagram,156,10,14,9
U_616,Snapchat,317,11,83,26
U_617,Snapchat,264,18,23,27
U_618,Twitter,296,1,114,2
U_619,LinkedIn,151,4,185,16
U_620,Snapchat,155,2,173,12
U_621,Snapchat,464,5,73,35
U_622,Facebook,17,13,33,41
U_623,Facebook,93,2,25,45
U_624,Pinterest,65,9,35,21
U_625,TikTok,295,9,56,15
U_626,LinkedIn,305,2,114,20
U_627,Twitter,233,18,172,12
U_628,Twitter,115,12,6,36
U_629,Facebook,280,20,104,46
U_630,Instagram,351,19,149,0
U_631,Snapchat,17,10,89,31
U_632,Pinterest,228,10,50,26
U_633,Snapchat,301,16,162,23
U_634,TikTok,383,18,46,19
U_635,Facebook,211,13,98,4
U_636,Pinterest,377,3,135,49
U_637,Facebook,321,16,47,12
U_638,Snapchat,194,12,63,19
U_639,LinkedIn,45,6,85,0
U_640,Instagram,276,11,75,27
U_641,Twitter,220,9,20,23
U_642,LinkedIn,433,9,19,11
U_643,Snapchat,262,14,51,48
U_644,Facebook,420,17,117,47
U_645,Pinterest,71,9,110,39
U_646,Facebook,148,4,84,44
U_647,TikTok,23,8,52,2
U_648,Snapchat,204,5,79,23
U_649,Instagram,167,14,72,9
U_650,Twitter,142,19,121,10
U_651,Facebook,476,15,126,20
U_652,Facebook,462,4,159,47
U_653,Facebook,315,3,37,11
U_654,TikTok,161,14,85,20
U_655,Twitter,384,7,63,32
U_656,Pinterest,59,9,22,3
U_657,LinkedIn,318,3,132,22
U_658,Twitter,90,9,132,25
U_659,Instagram,52,7,156,41
U_660,TikTok,159,15,58,30
U_661,Facebook,424,9,97,12
U_662,Pinterest,405,15,147,25
U_663,LinkedIn,227,8,40,10
U_664,LinkedIn,212,17,85,6
U_665,LinkedIn,44,13,53,5
U_666,TikTok,435,20,37,34
U_667,Instagram,67,2,114,34
U_668,LinkedIn,412,10,185,43
U_669,Instagram,76,12,108,47
U_670,Twitter,192,11,44,34
U_671,LinkedIn,186,16,190,21
U_672,TikTok,299,1,120,17
U_673,Facebook,52,12,191,11
U_674,Snapchat,383,16,101,1
U_675,Facebook,486,7,192,9
U_676,LinkedIn,243,18,165,0
U_677,Pinterest,491,9,49,42
U_678,Snapchat,395,6,87,33
U_679,LinkedIn,127,18,19,24
U_680,Instagram,67,6,9,50
U_681,Pinterest,337,7,132,11
U_682,Pinterest,305,10,139,47
U_683,TikTok,383,16,160,50
U_684,Instagram,481,6,61,49
U_685,Facebook,451,16,120,43
U_686,Snapchat,160,20,182,17
U_687,TikTok,8,15,139,0
U_688,Pinterest,179,18,33,1
U_689,Instagram,139,3,55,45
U_690,Twitter,317,19,138,35
U_691,Instagram,98,19,82,48
U_692,LinkedIn,233,0,173,16
U_693,Pinterest,435,6,128,23
U_694,Twitter,453,2,78,39
U_695,LinkedIn,176,13,88,3
U_696,Pinterest,374,8,124,20
U_697,Facebook,253,2,71,32
U_698,LinkedIn,179,12,12,49
U_699,Facebook,154,15,158,37
U_700,TikTok,281,8,43,17
U_701,Snapchat,251,2,104,17
U_702,Twitter,89,3,123,48
U_703,LinkedIn,436,10,115,22
U_704,Facebook,75,2,98,6
U_705,Instagram,161,14,133,30
U_706,Pinterest,67,17,61,32
U_707,Pinterest,18,16,37,41
U_708,Twitter,442,4,78,1
U_709,Pinterest,306,19,65,9
U_710,Pinterest,401,13,38,21
U_711,Twitter,331,10,154,9
U_712,TikTok,126,0,26,36
U_713,Instagram,288,3,110,8
U_714,LinkedIn,188,10,142,1
U_715,LinkedIn,338,12,192,46
U_716,Pinterest,466,19,142,43
U_717,Instagram,26,7,179,11
U_718,Pinterest,313,4,20,22
U_719,TikTok,39,5,184,2
U_720,Snapchat,14,20,98,33
U_721,Snapchat,317,4,37,29
U_722,Instagram,213,15,25,26
U_723,LinkedIn,417,12,191,9
U_724,Facebook,222,6,132,47
U_725,Snapchat,186,8,96,1
U_726,Instagram,313,8,195,40
U_727,Snapchat,447,9,48,46
U_728,TikTok,5,4,70,45
U_729,Twitter,391,10,21,39
U_730,Instagram,242,3,111,39
U_731,Twitter,487,8,14,14
U_732,Facebook,490,12,106,17
U_733,Pinterest,27,17,139,13
U_734,TikTok,391,15,67,36
U_735,Facebook,99,3,106,22
U_736,Pinterest,386,8,111,20
U_737,Snapchat,359,17,168,10
U_738,Instagram,362,9,138,24
U_739,Facebook,368,5,100,5
U_740,Twitter,239,10,82,13
U_741,Snapchat,87,3,23,41
U_742,Twitter,13,13,134,47
U_743,TikTok,353,19,120,5
U_744,Snapchat,369,7,121,7
U_745,Instagram,105,9,99,18
U_746,TikTok,40,14,63,4
U_747,Instagram,33,5,104,36
U_748,Pinterest,372,3,155,25
U_749,Snapchat,12,7,124,9
U_750,Instagram,421,14,95,42
U_751,Facebook,130,20,33,9
U_752,Twitter,74,3,158,2
U_753,Facebook,323,7,166,31
U_754,Snapchat,388,20,121,50
U_755,Facebook,192,16,18,21
U_756,LinkedIn,218,20,174,31
U_757,Instagram,449,12,1,30
U_758,Instagram,496,3,157,9
U_759,LinkedIn,99,1,91,18
U_760,Twitter,408,15,97,30
U_761,Instagram,10,4,129,36
U_762,Facebook,154,17,2,50
U_763,Twitter,300,15,115,30
U_764,Snapchat,117,0,94,12
U_765,Snapchat,301,3,15,9
U_766,Snapchat,246,13,182,28
U_767,Instagram,68,10,135,35
U_768,Snapchat,393,16,1,35
U_769,Instagram,331,15,107,15
U_770,Facebook,176,10,56,6
U_771,Instagram,457,7,73,15
U_772,Twitter,81,14,199,16
U_773,Facebook,332,7,81,17
U_774,Twitter,385,9,10,25
U_775,TikTok,337,16,48,42
U_776,LinkedIn,328,15,89,29
U_777,Twitter,101,6,132,10
U_778,Facebook,176,6,121,2
U_779,LinkedIn,468,12,53,47
U_780,LinkedIn,388,9,61,20
U_781,Twitter,451,20,67,7
U_782,Twitter,6,16,151,22
U_783,LinkedIn,374,20,36,26
U_784,Pinterest,84,19,28,31
U_785,Facebook,129,6,144,9
U_786,TikTok,192,4,160,44
U_787,Twitter,282,18,165,35
U_788,Pinterest,400,19,195,22
U_789,LinkedIn,67,10,162,36
